Customer_ID,Age,Gender,Income_Level,Marital_Status,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Total_Purchase_Amount,Purchase_Channel,Customer_Satisfaction,Payment_Method,Time_of_Purchase,Discount_Used,Purchase_Intent,Shipping_Preference
21-755-8745,37,Male,High,Widowed,Montpellier,Packages),$136.53,3.00,$409.59,Mixed,3,PayPal,5/31/2024,TRUE,Planned,Standard
29-625-7057,31,Female,Middle,Single,Nesovice,Arts & Crafts,$489.05,10.00,"$4,890.50",Online,2,PayPal,09/04/2024,TRUE,Planned,Standard
58-623-8404,50,Male,High,Single,Pasirhuni,Electronics,$81.91,10.00,$819.10,In-Store,4,Debit Card,7/24/2024,FALSE,Need-based,Express
56-506-4709,50,Male,Middle,Married,Glendale,Arts & Crafts,$135.80,2.00,$271.60,In-Store,2,Debit Card,11/16/2024,FALSE,Planned,No Preference
25-839-8670,45,Female,Middle,Widowed,Tála,Health Supplements,$382.24,12.00,"$4,586.88",In-Store,4,PayPal,07/06/2024,TRUE,Planned,Standard
89-194-0596,33,Female,High,Married,Marseille,Gardening & Outdoors,$354.70,5.00,"$1,773.50",Online,7,Other,02/10/2024,TRUE,Planned,Express
55-163-1389,24,Male,High,Divorced,Nasielsk,Mobile Accessories,$433.82,6.00,"$2,602.92",Online,8,Other,6/29/2024,FALSE,Planned,Express
28-225-4286,39,Genderfluid,High,Married,Paris 06,Mobile Accessories,$282.13,5.00,"$1,410.65",Mixed,2,Other,1/26/2024,TRUE,Need-based,Standard
14-305-8712,48,Male,High,Widowed,Bronnitsy,Mobile Accessories,$454.38,10.00,"$4,543.80",Online,10,PayPal,6/15/2024,TRUE,Impulsive,No Preference
85-738-6864,25,Male,Middle,Married,Inayauan,Mobile Accessories,$138.88,7.00,$972.16,In-Store,3,Cash,06/08/2024,TRUE,Planned,No Preference
17-198-5155,30,Female,High,Single,Qianjin,Books,$52.34,6.00,$314.04,In-Store,5,PayPal,5/21/2024,TRUE,Planned,Express
15-354-9904,34,Male,Middle,Single,Bagahanlad,Groceries,$338.20,7.00,"$2,367.40",Online,9,Other,09/01/2024,TRUE,Wants-based,Standard
35-198-9248,21,Female,Middle,Widowed,Rzewnie,Toys & Games,$263.15,3.00,$789.45,In-Store,10,Other,03/04/2024,TRUE,Impulsive,Express
03-950-6074,36,Female,Middle,Married,Strabychovo,Software & Apps,$371.58,2.00,$743.16,Mixed,10,Cash,9/13/2024,TRUE,Wants-based,No Preference
19-999-0134,30,Male,Middle,Widowed,Hongqi,Health Care,$353.40,2.00,$706.80,Online,1,Credit Card,12/06/2024,FALSE,Impulsive,No Preference
57-989-1487,46,Female,Middle,Divorced,Oeoh,Software & Apps,$329.41,5.00,"$1,647.05",In-Store,1,Cash,10/21/2024,TRUE,Need-based,No Preference
07-816-2673,46,Female,Middle,Married,Topol’noye,Food & Beverages,$54.46,5.00,$272.30,Online,1,Other,11/17/2024,FALSE,Impulsive,Standard
70-761-3550,43,Male,High,Widowed,Kovářov,Books,$257.12,8.00,"$2,056.96",Online,1,Other,7/24/2024,TRUE,Impulsive,No Preference
38-242-3251,43,Male,High,Divorced,Majdal Banī Fāḑil,Arts & Crafts,$293.04,11.00,"$3,223.44",In-Store,3,PayPal,03/03/2024,TRUE,Planned,Standard
95-525-0842,34,Male,High,Single,Delta del Tigre,Books,$110.40,12.00,"$1,324.80",Mixed,3,Debit Card,11/13/2024,FALSE,Need-based,Standard
37-101-4922,42,Female,Middle,Married,Santa Cruz La Laguna,Mobile Accessories,$76.27,4.00,$305.08,In-Store,8,Credit Card,12/24/2024,TRUE,Wants-based,Standard
37-128-5425,40,Female,High,Widowed,Manchester,Toys & Games,$392.08,6.00,"$2,352.48",Online,7,Other,08/04/2024,TRUE,Need-based,Express
27-439-9545,25,Female,High,Married,Norrköping,Toys & Games,$51.22,6.00,$307.32,Online,5,Cash,8/25/2024,TRUE,Planned,Standard
37-126-7954,38,Male,Middle,Divorced,Sośno,Clothing,$227.57,2.00,$455.14,Online,6,PayPal,8/17/2024,FALSE,Wants-based,No Preference
82-990-0504,46,Female,Middle,Widowed,Pélla,Groceries,$378.87,7.00,"$2,652.09",Online,2,PayPal,04/01/2024,TRUE,Planned,No Preference
21-734-0212,24,Female,Middle,Widowed,Namur,Beauty & Personal Care,$423.92,8.00,"$3,391.36",Mixed,9,Credit Card,8/24/2024,FALSE,Need-based,Standard
76-148-9413,43,Non-binary,High,Widowed,Benevides,Arts & Crafts,$111.24,9.00,"$1,001.16",Mixed,2,Credit Card,08/06/2024,TRUE,Need-based,No Preference
53-639-3774,37,Female,Middle,Single,Qinghaihu,Travel & Leisure (Flights,$299.31,7.00,"$2,095.17",Mixed,3,Debit Card,02/01/2024,TRUE,Need-based,Express
20-817-9584,42,Male,Middle,Widowed,Alfeizerão,Animal Feed,$169.28,7.00,"$1,184.96",Mixed,1,Cash,6/17/2024,TRUE,Impulsive,No Preference
18-655-3670,29,Male,Middle,Widowed,Prostřední Bečva,Office Supplies,$449.13,9.00,"$4,042.17",In-Store,2,Credit Card,06/12/2024,FALSE,Planned,No Preference
72-431-5021,35,Female,High,Married,Oeiras,Animal Feed,$427.48,6.00,"$2,564.88",Online,1,Debit Card,12/16/2024,TRUE,Impulsive,Standard
07-479-3919,27,Female,Middle,Single,Kýthnos,Sports & Outdoors,$171.61,3.00,$514.83,Online,6,Credit Card,10/31/2024,TRUE,Planned,Express
17-032-6274,40,Female,High,Married,Rizal,Books,$240.28,3.00,$720.84,Online,7,Cash,12/07/2024,TRUE,Impulsive,Standard
64-166-9097,34,Female,High,Single,Fullerton,Furniture,$310.17,6.00,"$1,861.02",In-Store,10,Debit Card,2/24/2024,FALSE,Wants-based,No Preference
39-499-3854,25,Female,Middle,Married,Huaidao,Hotels,$166.00,10.00,"$1,660.00",Online,10,PayPal,06/11/2024,FALSE,Impulsive,Express
39-636-5871,38,Male,High,Divorced,Bilice,Baby Products,$362.01,2.00,$724.02,In-Store,1,Debit Card,11/24/2024,FALSE,Impulsive,Express
71-667-2334,33,Polygender,High,Married,Isla Verde,Travel & Leisure (Flights,$348.50,3.00,"$1,045.50",Mixed,6,Debit Card,07/09/2024,FALSE,Planned,No Preference
35-192-9050,32,Female,Middle,Married,Hunkuyi,Animal Feed,$395.97,9.00,"$3,563.73",In-Store,6,Debit Card,8/18/2024,TRUE,Wants-based,Standard
91-440-0011,50,Female,Middle,Widowed,Shiree,Sports & Outdoors,$474.99,9.00,"$4,274.91",Online,8,Credit Card,07/10/2024,TRUE,Planned,Standard
20-830-4758,35,Female,Middle,Widowed,Strezhevoy,Luxury Goods,$286.43,4.00,"$1,145.72",Mixed,3,Cash,07/12/2024,TRUE,Wants-based,Express
84-337-1016,19,Genderfluid,High,Widowed,Longxing,Health Care,$333.32,8.00,"$2,666.56",Online,3,Credit Card,10/05/2024,TRUE,Planned,No Preference
09-346-4992,46,Bigender,High,Single,Jesús Menéndez,Electronics,$223.47,9.00,"$2,011.23",Mixed,2,Debit Card,9/20/2024,TRUE,Need-based,Standard
75-083-3608,23,Male,Middle,Divorced,Hongguang,Sports & Outdoors,$414.83,2.00,$829.66,Mixed,4,Credit Card,7/16/2024,FALSE,Planned,Express
29-779-7209,34,Female,High,Widowed,Pilaya,Books,$391.38,5.00,"$1,956.90",In-Store,7,Other,04/02/2024,FALSE,Need-based,No Preference
12-409-5166,48,Male,Middle,Divorced,Camp Ithier,Furniture,$368.40,11.00,"$4,052.40",Online,3,Credit Card,6/21/2024,FALSE,Need-based,No Preference
07-024-4995,27,Bigender,Middle,Widowed,Holboo,Furniture,$328.36,11.00,"$3,611.96",In-Store,4,Cash,03/11/2024,FALSE,Wants-based,Express
74-478-5950,37,Female,Middle,Divorced,Luxi,Home Appliances,$424.39,9.00,"$3,819.51",Mixed,7,Credit Card,2/26/2024,TRUE,Wants-based,No Preference
31-395-1286,47,Male,High,Married,Ostashkov,Health Supplements,$197.12,10.00,"$1,971.20",In-Store,1,Other,6/14/2024,TRUE,Wants-based,Standard
60-838-4334,45,Male,High,Single,Hongshanzui,Books,$454.57,9.00,"$4,091.13",Mixed,1,Debit Card,3/24/2024,TRUE,Wants-based,Express
71-197-8227,37,Male,Middle,Divorced,Tocoa,Electronics,$298.38,4.00,"$1,193.52",Mixed,2,Cash,4/27/2024,FALSE,Need-based,Standard
15-530-3861,36,Male,High,Divorced,Bayan Tuohai,Clothing,$111.70,6.00,$670.20,Online,5,Credit Card,11/07/2024,FALSE,Planned,Standard
30-567-4471,34,Male,Middle,Married,Parumasan,Clothing,$373.69,10.00,"$3,736.90",Online,8,Credit Card,12/04/2024,FALSE,Impulsive,Express
04-465-1819,37,Male,High,Widowed,Karpogory,Jewelry & Accessories,$354.87,5.00,"$1,774.35",In-Store,4,Cash,4/18/2024,FALSE,Planned,Express
69-692-0614,18,Female,Middle,Widowed,Shāhzādpur,Mobile Accessories,$214.48,2.00,$428.96,Online,3,Cash,4/21/2024,TRUE,Wants-based,Express
12-839-8066,20,Male,High,Divorced,Muaratiga,Software & Apps,$399.58,6.00,"$2,397.48",In-Store,8,Other,9/25/2024,TRUE,Need-based,Standard
05-465-8765,27,Female,High,Widowed,Gjegjan,Luxury Goods,$380.99,7.00,"$2,666.93",Mixed,1,Cash,12/09/2024,TRUE,Need-based,No Preference
81-580-3810,36,Male,Middle,Married,Créteil,Food & Beverages,$79.00,10.00,$790.00,Online,6,Cash,9/14/2024,FALSE,Planned,Standard
74-353-6312,46,Female,Middle,Married,Pameungpeuk,Groceries,$113.88,2.00,$227.76,Online,4,PayPal,3/29/2024,FALSE,Wants-based,Express
78-824-1887,26,Male,Middle,Married,Junshan,Travel & Leisure (Flights,$121.57,4.00,$486.28,Mixed,4,Other,06/06/2024,FALSE,Impulsive,No Preference
31-218-0024,21,Female,High,Divorced,Lewotola,Health Supplements,$215.54,11.00,"$2,370.94",Online,6,Credit Card,04/08/2024,TRUE,Planned,No Preference
15-711-4107,43,Male,High,Married,Laocheng,Furniture,$87.03,10.00,$870.30,Mixed,5,PayPal,08/11/2024,FALSE,Need-based,No Preference
76-672-1193,19,Male,High,Divorced,Guacarí,Travel & Leisure (Flights,$111.75,4.00,$447.00,In-Store,6,Debit Card,10/10/2024,FALSE,Impulsive,Standard
46-503-5589,41,Female,High,Widowed,Sancang,Office Supplies,$136.20,2.00,$272.40,Mixed,1,PayPal,6/15/2024,TRUE,Need-based,Express
87-499-6916,48,Male,Middle,Married,Ndewel,Food & Beverages,$439.31,4.00,"$1,757.24",In-Store,6,Debit Card,08/11/2024,FALSE,Wants-based,No Preference
30-520-8656,19,Female,Middle,Married,San Patricio,Health Care,$194.93,9.00,"$1,754.37",Online,4,Other,3/28/2024,TRUE,Impulsive,No Preference
36-323-3504,29,Male,Middle,Widowed,Fengtai,Food & Beverages,$377.67,8.00,"$3,021.36",Online,1,PayPal,5/13/2024,TRUE,Need-based,No Preference
93-810-4051,26,Agender,High,Single,Ḑawrān ad Daydah,Beauty & Personal Care,$108.61,10.00,"$1,086.10",In-Store,3,Cash,11/23/2024,TRUE,Need-based,No Preference
66-515-3648,20,Female,Middle,Married,Magdalena,Health Care,$366.77,7.00,"$2,567.39",Mixed,9,Debit Card,9/18/2024,FALSE,Impulsive,Standard
09-216-1957,31,Female,High,Divorced,Leśnica,Jewelry & Accessories,$178.04,5.00,$890.20,In-Store,5,Credit Card,7/16/2024,FALSE,Need-based,No Preference
23-253-2565,23,Female,High,Divorced,Hinlayagan Ilaud,Toys & Games,$461.09,8.00,"$3,688.72",Online,4,Debit Card,08/03/2024,TRUE,Need-based,No Preference
74-509-4985,19,Female,High,Single,Forshaga,Hotels,$211.16,5.00,"$1,055.80",In-Store,3,PayPal,6/28/2024,FALSE,Planned,Standard
05-857-1572,23,Female,Middle,Widowed,Rakszawa,Animal Feed,$421.95,8.00,"$3,375.60",Mixed,1,Other,3/18/2024,FALSE,Need-based,No Preference
26-521-8328,49,Female,Middle,Divorced,Fengjiang,Furniture,$378.59,5.00,"$1,892.95",Online,4,Other,10/15/2024,FALSE,Wants-based,No Preference
31-147-6197,23,Non-binary,High,Divorced,Jiangcun,Office Supplies,$268.93,2.00,$537.86,Mixed,3,Debit Card,11/23/2024,FALSE,Impulsive,Express
90-093-0469,42,Male,Middle,Divorced,Ōkuchi,Health Care,$444.87,11.00,"$4,893.57",Online,8,Other,11/29/2024,FALSE,Wants-based,No Preference
38-935-1865,18,Female,High,Widowed,Novoukrainskiy,Beauty & Personal Care,$160.82,7.00,"$1,125.74",In-Store,1,Cash,07/09/2024,TRUE,Wants-based,No Preference
75-953-8663,35,Male,High,Single,Acobambilla,Hotels,$494.18,6.00,"$2,965.08",Mixed,2,Cash,08/03/2024,FALSE,Need-based,Standard
38-478-2681,22,Male,Middle,Single,Kyonju,Home Appliances,$177.05,5.00,$885.25,Online,1,Cash,12/04/2024,TRUE,Impulsive,Standard
70-895-5298,28,Female,Middle,Married,Pomar,Food & Beverages,$450.66,7.00,"$3,154.62",In-Store,4,Credit Card,6/13/2024,FALSE,Need-based,No Preference
02-653-5884,42,Female,High,Married,Zalţan,Arts & Crafts,$164.27,6.00,$985.62,Online,7,PayPal,7/13/2024,TRUE,Wants-based,No Preference
11-719-8800,37,Female,Middle,Widowed,Trélazé,Food & Beverages,$346.36,12.00,"$4,156.32",Mixed,7,Credit Card,09/04/2024,FALSE,Need-based,Standard
59-355-5251,33,Female,Middle,Widowed,Messina,Animal Feed,$377.77,9.00,"$3,399.93",Mixed,5,Credit Card,8/26/2024,TRUE,Impulsive,Standard
82-572-9091,46,Female,Middle,Widowed,Mrągowo,Travel & Leisure (Flights,$163.41,2.00,$326.82,In-Store,8,Other,2/25/2024,TRUE,Need-based,Express
86-044-1071,30,Female,Middle,Divorced,Ngawi,Hotels,$467.58,10.00,"$4,675.80",Mixed,6,PayPal,4/15/2024,TRUE,Wants-based,Standard
08-733-0300,39,Female,Middle,Widowed,Oslo,Books,$247.51,10.00,"$2,475.10",Mixed,8,Credit Card,07/01/2024,TRUE,Impulsive,Standard
70-108-1493,25,Female,Middle,Single,Dobrica,Office Supplies,$365.10,3.00,"$1,095.30",In-Store,3,Debit Card,8/30/2024,FALSE,Wants-based,No Preference
46-230-8307,38,Female,High,Single,La Roche-sur-Yon,Health Care,$485.42,5.00,"$2,427.10",Online,6,Other,11/13/2024,TRUE,Wants-based,No Preference
74-431-0242,41,Female,Middle,Widowed,Point Pedro,Health Care,$250.54,4.00,"$1,002.16",In-Store,10,Credit Card,12/27/2024,FALSE,Wants-based,No Preference
78-272-6417,49,Female,Middle,Divorced,Marseille,Jewelry & Accessories,$163.14,5.00,$815.70,Mixed,2,Debit Card,08/07/2024,TRUE,Planned,No Preference
13-792-4356,21,Male,High,Divorced,Tianbao,Gardening & Outdoors,$162.31,8.00,"$1,298.48",In-Store,2,Credit Card,10/05/2024,FALSE,Need-based,No Preference
04-563-9091,37,Male,Middle,Widowed,Puqian,Office Supplies,$328.21,7.00,"$2,297.47",Mixed,2,Credit Card,2/14/2024,FALSE,Need-based,No Preference
79-592-5396,30,Female,High,Married,Binalbagan,Sports & Outdoors,$268.59,4.00,"$1,074.36",Online,1,Debit Card,04/05/2024,TRUE,Need-based,Standard
39-952-4459,18,Female,High,Divorced,Tessalit,Electronics,$257.37,7.00,"$1,801.59",Online,5,PayPal,02/01/2024,TRUE,Wants-based,Express
67-935-7964,41,Female,Middle,Single,Nikolayevsk,Office Supplies,$205.49,4.00,$821.96,In-Store,2,Cash,11/09/2024,TRUE,Need-based,Express
26-828-2720,40,Male,High,Divorced,Dashuipo,Mobile Accessories,$407.91,7.00,"$2,855.37",In-Store,5,Other,6/17/2024,TRUE,Need-based,Standard
57-410-7415,33,Female,High,Divorced,Týn nad Vltavou,Food & Beverages,$254.73,6.00,"$1,528.38",Online,3,Other,06/01/2024,TRUE,Impulsive,Express
62-989-8214,30,Female,Middle,Divorced,Kaum Kaler,Clothing,$397.78,12.00,"$4,773.36",Online,7,PayPal,9/24/2024,FALSE,Impulsive,No Preference
73-827-2774,33,Female,High,Married,Gandapura,Electronics,$305.29,3.00,$915.87,Online,8,Debit Card,09/05/2024,TRUE,Impulsive,Standard
19-643-1879,45,Male,Middle,Divorced,Kawangkoan,Food & Beverages,$257.86,6.00,"$1,547.16",Online,4,PayPal,06/12/2024,TRUE,Need-based,Express
57-345-3921,42,Female,High,Single,Mondorf-les-Bains,Jewelry & Accessories,$393.45,12.00,"$4,721.40",In-Store,10,Credit Card,10/06/2024,FALSE,Need-based,Express
98-817-6731,30,Male,High,Married,Manwakh,Health Supplements,$58.49,6.00,$350.94,Online,8,Other,7/29/2024,TRUE,Planned,Express
31-788-0864,42,Male,Middle,Single,Karlstad,Beauty & Personal Care,$226.48,11.00,"$2,491.28",In-Store,7,Debit Card,10/18/2024,TRUE,Need-based,Express
27-806-4972,26,Female,High,Single,Obong,Health Care,$469.22,6.00,"$2,815.32",In-Store,1,Credit Card,08/07/2024,FALSE,Wants-based,No Preference
48-343-1220,42,Female,High,Divorced,Kolsko,Jewelry & Accessories,$335.32,6.00,"$2,011.92",Mixed,1,Other,08/12/2024,TRUE,Planned,No Preference
15-640-6493,31,Male,High,Divorced,Dālbandīn,Animal Feed,$184.74,5.00,$923.70,In-Store,5,Debit Card,11/27/2024,FALSE,Impulsive,No Preference
64-846-7450,37,Genderqueer,High,Divorced,Shazi,Travel & Leisure (Flights,$442.18,5.00,"$2,210.90",In-Store,10,PayPal,1/25/2024,FALSE,Impulsive,Express
58-788-8938,49,Male,High,Married,Hachiōji,Health Supplements,$427.10,8.00,"$3,416.80",Mixed,2,PayPal,05/10/2024,FALSE,Planned,No Preference
52-240-3825,34,Male,High,Widowed,Jolo,Home Appliances,$326.82,4.00,"$1,307.28",Mixed,5,Credit Card,4/22/2024,TRUE,Planned,Standard
60-618-2561,41,Male,High,Widowed,Pedra Azul,Hotels,$98.97,12.00,"$1,187.64",In-Store,7,Other,3/19/2024,TRUE,Impulsive,No Preference
94-969-6819,33,Male,High,Single,Gustavsberg,Health Care,$77.65,6.00,$465.90,Online,3,Cash,1/24/2024,TRUE,Planned,No Preference
76-982-8107,47,Female,Middle,Widowed,La Mohammedia,Electronics,$85.61,2.00,$171.22,Online,3,Other,10/04/2024,TRUE,Need-based,Standard
52-779-8972,47,Male,High,Widowed,Florida,Food & Beverages,$164.79,4.00,$659.16,In-Store,5,Credit Card,5/23/2024,TRUE,Impulsive,No Preference
40-520-3271,29,Female,High,Widowed,Zhongcheng,Health Supplements,$235.46,10.00,"$2,354.60",In-Store,7,Credit Card,11/13/2024,FALSE,Impulsive,No Preference
79-884-5600,36,Female,High,Widowed,Goiatuba,Books,$245.14,4.00,$980.56,Online,4,PayPal,03/03/2024,TRUE,Impulsive,Standard
80-607-9947,43,Male,High,Divorced,Krajan Kidul Rojopolo,Toys & Games,$439.91,5.00,"$2,199.55",Online,9,Other,03/03/2024,FALSE,Need-based,Express
87-290-8263,31,Male,High,Widowed,Metchosin,Home Appliances,$309.22,5.00,"$1,546.10",Mixed,4,Cash,3/24/2024,FALSE,Planned,Standard
99-316-9993,27,Male,Middle,Widowed,Staritsa,Groceries,$146.59,10.00,"$1,465.90",Mixed,2,Cash,1/22/2024,FALSE,Impulsive,No Preference
54-164-2243,48,Male,Middle,Single,Benito Juarez,Hotels,$298.73,4.00,"$1,194.92",Online,2,Debit Card,11/02/2024,FALSE,Need-based,No Preference
14-784-5606,19,Genderqueer,High,Single,Maní,Food & Beverages,$395.01,2.00,$790.02,Mixed,6,Credit Card,4/18/2024,TRUE,Wants-based,Standard
47-992-7446,41,Male,Middle,Married,Vitali,Electronics,$371.19,10.00,"$3,711.90",Mixed,8,Credit Card,8/27/2024,FALSE,Planned,Express
37-513-5073,33,Female,Middle,Married,Mizque,Electronics,$193.76,10.00,"$1,937.60",Mixed,2,Debit Card,02/03/2024,FALSE,Wants-based,No Preference
93-473-7248,43,Male,Middle,Divorced,Zgornje Pirniče,Baby Products,$424.27,6.00,"$2,545.62",Online,8,Cash,9/15/2024,TRUE,Planned,Standard
72-830-1211,38,Male,High,Single,Cipolletti,Jewelry & Accessories,$496.11,2.00,$992.22,Mixed,8,PayPal,06/08/2024,TRUE,Impulsive,Standard
87-934-6762,41,Male,High,Widowed,Sollefteå,Baby Products,$341.91,3.00,"$1,025.73",Online,9,Cash,5/31/2024,FALSE,Impulsive,Express
71-975-9564,40,Male,High,Married,Klonowa,Gardening & Outdoors,$127.66,11.00,"$1,404.26",Online,7,Credit Card,2/23/2024,FALSE,Planned,Standard
40-232-5631,47,Genderfluid,Middle,Single,Suvorov,Software & Apps,$227.47,2.00,$454.94,Online,4,Other,10/30/2024,TRUE,Need-based,Express
22-414-4955,35,Male,High,Widowed,Dragash,Health Supplements,$342.99,3.00,"$1,028.97",In-Store,6,Other,11/22/2024,FALSE,Impulsive,Express
99-089-1930,49,Non-binary,High,Married,Freiburg im Breisgau,Packages),$306.48,5.00,"$1,532.40",Mixed,9,Credit Card,9/15/2024,FALSE,Need-based,Standard
62-198-2511,22,Male,Middle,Divorced,Macau,Home Appliances,$308.54,3.00,$925.62,Mixed,5,Credit Card,9/29/2024,FALSE,Wants-based,Standard
21-297-1223,49,Male,High,Single,Pancas,Travel & Leisure (Flights,$124.17,12.00,"$1,490.04",Mixed,4,Debit Card,11/16/2024,TRUE,Planned,Standard
10-961-9336,27,Female,Middle,Married,Dayapan,Travel & Leisure (Flights,$78.00,5.00,$390.00,Online,1,Debit Card,11/09/2024,TRUE,Wants-based,No Preference
71-473-2656,27,Female,High,Married,Gordon Town,Health Care,$393.03,4.00,"$1,572.12",Mixed,3,Cash,09/03/2024,TRUE,Planned,Standard
84-954-2973,37,Female,High,Single,Proptisht,Hotels,$102.09,3.00,$306.27,Mixed,9,PayPal,3/13/2024,FALSE,Need-based,Express
22-382-9636,32,Male,Middle,Married,Kamal,Health Care,$426.21,3.00,"$1,278.63",Mixed,5,Other,4/18/2024,FALSE,Wants-based,Standard
89-724-2536,42,Male,Middle,Widowed,Kouvola,Arts & Crafts,$140.31,2.00,$280.62,Online,5,Cash,5/21/2024,TRUE,Impulsive,Express
85-391-1888,18,Female,High,Widowed,Zhongdong,Software & Apps,$413.70,8.00,"$3,309.60",Mixed,9,Other,6/17/2024,FALSE,Need-based,No Preference
84-934-2483,49,Male,High,Widowed,Betong,Arts & Crafts,$348.63,4.00,"$1,394.52",Online,7,Debit Card,04/01/2024,FALSE,Planned,No Preference
96-229-1698,23,Female,Middle,Widowed,Jinping,Animal Feed,$91.27,7.00,$638.89,In-Store,6,Cash,6/21/2024,TRUE,Planned,Express
36-948-6994,29,Female,High,Divorced,Mgachi,Luxury Goods,$359.94,11.00,"$3,959.34",Mixed,8,Cash,12/19/2024,FALSE,Wants-based,Express
43-172-9431,25,Male,Middle,Divorced,Lameira,Gardening & Outdoors,$138.20,8.00,"$1,105.60",In-Store,6,Debit Card,03/02/2024,FALSE,Need-based,No Preference
53-690-5759,38,Agender,High,Divorced,Medicine Hat,Home Appliances,$196.33,11.00,"$2,159.63",Online,5,Debit Card,6/29/2024,TRUE,Planned,Standard
00-496-3067,32,Female,Middle,Widowed,Oslo,Packages),$249.24,8.00,"$1,993.92",In-Store,3,Cash,8/29/2024,FALSE,Need-based,Standard
10-330-6387,45,Male,High,Divorced,Yeniköy,Furniture,$129.10,12.00,"$1,549.20",Mixed,8,Credit Card,4/15/2024,TRUE,Planned,No Preference
