Customer_ID,Age,Gender,Marital_Status,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Total_Purchase_Amount,Purchase_Channel,Customer_Satisfaction,Time_of_Purchase,Purchase_Intent,Shipping_Preference
23-302-7502,30,Female,Widowed,Northgate,Health Care,$58.51,2,$117.02,Online,4,12/14/2024,Planned,No Preference
90-069-8934,40,Male,Divorced,Riverdale,Hotels,$109.29,3,$327.87,Online,2,08/11/2024,Wants-based,Express
45-073-7243,37,Male,Single,Greenhaven,Furniture,$356.45,6,"$2,138.70",Mixed,7,10/18/2024,Planned,Standard
89-883-2101,38,Female,Divorced,Rosewood,Mobile Accessories,$236.99,10,"$2,369.90",Mixed,8,12/09/2024,Impulsive,No Preference
00-477-9449,36,Male,Widowed,Hillcrest,Packages),$454.39,10,"$4,543.90",In-Store,3,7/23/2024,Impulsive,Standard
67-159-7366,29,Female,Widowed,Bayridge,Electronics,$490.75,10,"$4,907.50",In-Store,4,07/08/2024,Wants-based,Standard
85-691-4293,21,Female,Widowed,Oakmont,Software & Apps,$463.07,7,"$3,241.49",Mixed,2,7/23/2024,Wants-based,No Preference
56-085-0464,36,Female,Married,Meadowbrook,Baby Products,$56.74,5,$283.70,Online,6,7/31/2024,Impulsive,Express
33-264-2822,38,Male,Divorced,Summerville,Toys & Games,$371.32,7,"$2,599.24",In-Store,1,2/25/2024,Impulsive,Standard
95-478-2650,37,Female,Single,Cedarwood,Software & Apps,$461.00,7,"$3,227.00",Online,8,07/10/2024,Wants-based,Standard
04-349-6759,33,Female,Married,Grandview,Food & Beverages,$253.37,6,"$1,520.22",In-Store,10,12/25/2024,Impulsive,Standard
21-755-8745,37,Male,Widowed,Starwood,Packages),$136.53,3,$409.59,Mixed,3,5/31/2024,Planned,Standard
29-625-7057,31,Female,Single,Ironwood,Arts & Crafts,$489.05,10,"$4,890.50",Online,2,09/04/2024,Planned,Standard
58-623-8404,50,Male,Single,Belmont,Electronics,$81.91,10,$819.10,In-Store,4,7/24/2024,Need-based,Express
56-506-4709,50,Male,Married,Clarendon,Arts & Crafts,$135.80,2,$271.60,In-Store,2,11/16/2024,Planned,No Preference
25-839-8670,45,Female,Widowed,Lakeshore,Health Supplements,$382.24,12,"$4,586.88",In-Store,4,07/06/2024,Planned,Standard
89-194-0596,33,Female,Married,Woodmere,Gardening & Outdoors,$354.70,5,"$1,773.50",Online,7,02/10/2024,Planned,Express
55-163-1389,24,Male,Divorced,Willowbrook,Mobile Accessories,$433.82,6,"$2,602.92",Online,8,6/29/2024,Planned,Express
28-225-4286,39,Genderfluid,Married,Westwood,Mobile Accessories,$282.13,5,"$1,410.65",Mixed,2,1/26/2024,Need-based,Standard
14-305-8712,48,Male,Widowed,Glenhaven,Mobile Accessories,$454.38,10,"$4,543.80",Online,10,6/15/2024,Impulsive,No Preference
85-738-6864,25,Male,Married,Birchwood,Mobile Accessories,$138.88,7,$972.16,In-Store,3,06/08/2024,Planned,No Preference
17-198-5155,30,Female,Single,Springfield,Books,$52.34,6,$314.04,In-Store,5,5/21/2024,Planned,Express
15-354-9904,34,Male,Single,Brentwood,Groceries,$338.20,7,"$2,367.40",Online,9,09/01/2024,Wants-based,Standard
35-198-9248,21,Female,Widowed,Northfield,Toys & Games,$263.15,3,$789.45,In-Store,10,03/04/2024,Impulsive,Express
03-950-6074,36,Female,Married,Ridgewood,Software & Apps,$371.58,2,$743.16,Mixed,10,9/13/2024,Wants-based,No Preference
19-999-0134,30,Male,Widowed,Pinehurst,Health Care,$353.40,2,$706.80,Online,1,12/06/2024,Impulsive,No Preference
57-989-1487,46,Female,Divorced,Timberlake,Software & Apps,$329.41,5,"$1,647.05",In-Store,1,10/21/2024,Need-based,No Preference
07-816-2673,46,Female,Married,Redfield,Food & Beverages,$54.46,5,$272.30,Online,1,11/17/2024,Impulsive,Standard
70-761-3550,43,Male,Widowed,Coventry,Books,$257.12,8,"$2,056.96",Online,1,7/24/2024,Impulsive,No Preference
38-242-3251,43,Male,Divorced,Everwood,Arts & Crafts,$293.04,11,"$3,223.44",In-Store,3,03/03/2024,Planned,Standard
95-525-0842,34,Male,Single,Ashford,Books,$110.40,12,"$1,324.80",Mixed,3,11/13/2024,Need-based,Standard
37-101-4922,42,Female,Married,Brookside,Mobile Accessories,$76.27,4,$305.08,In-Store,8,12/24/2024,Wants-based,Standard
37-128-5425,40,Female,Widowed,Hawthorne,Toys & Games,$392.08,6,"$2,352.48",Online,7,08/04/2024,Need-based,Express
27-439-9545,25,Female,Married,Summerfield,Toys & Games,$51.22,6,$307.32,Online,5,8/25/2024,Planned,Standard
37-126-7954,38,Male,Divorced,Elmwood,Clothing,$227.57,2,$455.14,Online,6,8/17/2024,Wants-based,No Preference
82-990-0504,46,Female,Widowed,Crestview,Groceries,$378.87,7,"$2,652.09",Online,2,04/01/2024,Planned,No Preference
21-734-0212,24,Female,Widowed,Rockport,Beauty & Personal Care,$423.92,8,"$3,391.36",Mixed,9,8/24/2024,Need-based,Standard
76-148-9413,43,Non-binary,Widowed,Baywood,Arts & Crafts,$111.24,9,"$1,001.16",Mixed,2,08/06/2024,Need-based,No Preference
53-639-3774,37,Female,Single,Westfield,Travel & Leisure (Flights,$299.31,7,"$2,095.17",Mixed,3,02/01/2024,Need-based,Express
20-817-9584,42,Male,Widowed,Clearview,Animal Feed,$169.28,7,"$1,184.96",Mixed,1,6/17/2024,Impulsive,No Preference
18-655-3670,29,Male,Widowed,Rockridge,Office Supplies,$449.13,9,"$4,042.17",In-Store,2,06/12/2024,Planned,No Preference
72-431-5021,35,Female,Married,Arlington,Animal Feed,$427.48,6,"$2,564.88",Online,1,12/16/2024,Impulsive,Standard
07-479-3919,27,Female,Single,Sunnyvale,Sports & Outdoors,$171.61,3,$514.83,Online,6,10/31/2024,Planned,Express
17-032-6274,40,Female,Married,Brightonwood,Books,$240.28,3,$720.84,Online,7,12/07/2024,Impulsive,Standard
64-166-9097,34,Female,Single,Oxfordshire,Furniture,$310.17,6,"$1,861.02",In-Store,10,2/24/2024,Wants-based,No Preference
39-499-3854,25,Female,Married,Kingsland,Hotels,$166.00,10,"$1,660.00",Online,10,06/11/2024,Impulsive,Express
39-636-5871,38,Male,Divorced,Belleview,Baby Products,$362.01,2,$724.02,In-Store,1,11/24/2024,Impulsive,Express
71-667-2334,33,Polygender,Married,Edgewood,Travel & Leisure (Flights,$348.50,3,"$1,045.50",Mixed,6,07/09/2024,Planned,No Preference
35-192-9050,32,Female,Married,Eastwood,Animal Feed,$395.97,9,"$3,563.73",In-Store,6,8/18/2024,Wants-based,Standard
91-440-0011,50,Female,Widowed,Fernwood,Sports & Outdoors,$474.99,9,"$4,274.91",Online,8,07/10/2024,Planned,Standard
20-830-4758,35,Female,Widowed,Highfield,Luxury Goods,$286.43,4,"$1,145.72",Mixed,3,07/12/2024,Wants-based,Express
84-337-1016,19,Genderfluid,Widowed,Harborview,Health Care,$333.32,8,"$2,666.56",Online,3,10/05/2024,Planned,No Preference
09-346-4992,46,Bigender,Single,Sterlingville,Electronics,$223.47,9,"$2,011.23",Mixed,2,9/20/2024,Need-based,Standard
75-083-3608,23,Male,Divorced,Broadmoor,Sports & Outdoors,$414.83,2,$829.66,Mixed,4,7/16/2024,Planned,Express
29-779-7209,34,Female,Widowed,Lynwood,Books,$391.38,5,"$1,956.90",In-Store,7,04/02/2024,Need-based,No Preference
12-409-5166,48,Male,Divorced,Maplehill,Furniture,$368.40,11,"$4,052.40",Online,3,6/21/2024,Need-based,No Preference
07-024-4995,27,Bigender,Widowed,Windsorcliffe,Furniture,$328.36,11,"$3,611.96",In-Store,4,03/11/2024,Wants-based,Express
74-478-5950,37,Female,Divorced,Hillsborough,Home Appliances,$424.39,9,"$3,819.51",Mixed,7,2/26/2024,Wants-based,No Preference
31-395-1286,47,Male,Married,Summitdale,Health Supplements,$197.12,10,"$1,971.20",In-Store,1,6/14/2024,Wants-based,Standard
60-838-4334,45,Male,Single,Thornbury,Books,$454.57,9,"$4,091.13",Mixed,1,3/24/2024,Wants-based,Express
71-197-8227,37,Male,Divorced,Brookstone,Electronics,$298.38,4,"$1,193.52",Mixed,2,4/27/2024,Need-based,Standard
15-530-3861,36,Male,Divorced,Brentmere,Clothing,$111.70,6,$670.20,Online,5,11/07/2024,Planned,Standard
30-567-4471,34,Male,Married,Greenbriar,Clothing,$373.69,10,"$3,736.90",Online,8,12/04/2024,Impulsive,Express
04-465-1819,37,Male,Widowed,Eastgate,Jewelry & Accessories,$354.87,5,"$1,774.35",In-Store,4,4/18/2024,Planned,Express
69-692-0614,18,Female,Widowed,Woodridge,Mobile Accessories,$214.48,2,$428.96,Online,3,4/21/2024,Wants-based,Express
12-839-8066,20,Male,Divorced,Hilltop,Software & Apps,$399.58,6,"$2,397.48",In-Store,8,9/25/2024,Need-based,Standard
05-465-8765,27,Female,Widowed,Havenfield,Luxury Goods,$380.99,7,"$2,666.93",Mixed,1,12/09/2024,Need-based,No Preference
81-580-3810,36,Male,Married,Riverbend,Food & Beverages,$79.00,10,$790.00,Online,6,9/14/2024,Planned,Standard
74-353-6312,46,Female,Married,Ashbourne,Groceries,$113.88,2,$227.76,Online,4,3/29/2024,Wants-based,Express
78-824-1887,26,Male,Married,Sunnyridge,Travel & Leisure (Flights,$121.57,4,$486.28,Mixed,4,06/06/2024,Impulsive,No Preference
31-218-0024,21,Female,Divorced,Copperfield,Health Supplements,$215.54,11,"$2,370.94",Online,6,04/08/2024,Planned,No Preference
15-711-4107,43,Male,Married,Foxborough,Furniture,$87.03,10,$870.30,Mixed,5,08/11/2024,Need-based,No Preference
76-672-1193,19,Male,Divorced,Silverton,Travel & Leisure (Flights,$111.75,4,$447.00,In-Store,6,10/10/2024,Impulsive,Standard
46-503-5589,41,Female,Widowed,Crestmoor,Office Supplies,$136.20,2,$272.40,Mixed,1,6/15/2024,Need-based,Express
87-499-6916,48,Male,Married,Alderwood,Food & Beverages,$439.31,4,"$1,757.24",In-Store,6,08/11/2024,Wants-based,No Preference
30-520-8656,19,Female,Married,Cedarhurst,Health Care,$194.93,9,"$1,754.37",Online,4,3/28/2024,Impulsive,No Preference
36-323-3504,29,Male,Widowed,Oakridge,Food & Beverages,$377.67,8,"$3,021.36",Online,1,5/13/2024,Need-based,No Preference
93-810-4051,26,Agender,Single,Grandville,Beauty & Personal Care,$108.61,10,"$1,086.10",In-Store,3,11/23/2024,Need-based,No Preference
66-515-3648,20,Female,Married,Westgate,Health Care,$366.77,7,"$2,567.39",Mixed,9,9/18/2024,Impulsive,Standard
09-216-1957,31,Female,Divorced,Brookfield,Jewelry & Accessories,$178.04,5,$890.20,In-Store,5,7/16/2024,Need-based,No Preference
23-253-2565,23,Female,Divorced,Clearbrook,Toys & Games,$461.09,8,"$3,688.72",Online,4,08/03/2024,Need-based,No Preference
74-509-4985,19,Female,Single,Meadowland,Hotels,$211.16,5,"$1,055.80",In-Store,3,6/28/2024,Planned,Standard
05-857-1572,23,Female,Widowed,Waterford,Animal Feed,$421.95,8,"$3,375.60",Mixed,1,3/18/2024,Need-based,No Preference
26-521-8328,49,Female,Divorced,Bramblewood,Furniture,$378.59,5,"$1,892.95",Online,4,10/15/2024,Wants-based,No Preference
31-147-6197,23,Non-binary,Divorced,Ironridge,Office Supplies,$268.93,2,$537.86,Mixed,3,11/23/2024,Impulsive,Express
90-093-0469,42,Male,Divorced,Windcrest,Health Care,$444.87,11,"$4,893.57",Online,8,11/29/2024,Wants-based,No Preference
38-935-1865,18,Female,Widowed,Northgate,Beauty & Personal Care,$160.82,7,"$1,125.74",In-Store,1,07/09/2024,Wants-based,No Preference
75-953-8663,35,Male,Single,Clearwater,Hotels,$494.18,6,"$2,965.08",Mixed,2,08/03/2024,Need-based,Standard
38-478-2681,22,Male,Single,Hawthorn,Home Appliances,$177.05,5,$885.25,Online,1,12/04/2024,Impulsive,Standard
70-895-5298,28,Female,Married,Belmontshire,Food & Beverages,$450.66,7,"$3,154.62",In-Store,4,6/13/2024,Need-based,No Preference
02-653-5884,42,Female,Married,Everglade,Arts & Crafts,$164.27,6,$985.62,Online,7,7/13/2024,Wants-based,No Preference
11-719-8800,37,Female,Widowed,Riverview,Food & Beverages,$346.36,12,"$4,156.32",Mixed,7,09/04/2024,Need-based,Standard
59-355-5251,33,Female,Widowed,Brookdale,Animal Feed,$377.77,9,"$3,399.93",Mixed,5,8/26/2024,Impulsive,Standard
82-572-9091,46,Female,Widowed,Cherrywood,Travel & Leisure (Flights,$163.41,2,$326.82,In-Store,8,2/25/2024,Need-based,Express
86-044-1071,30,Female,Divorced,Greenfield,Hotels,$467.58,10,"$4,675.80",Mixed,6,4/15/2024,Wants-based,Standard
08-733-0300,39,Female,Widowed,Southgate,Books,$247.51,10,"$2,475.10",Mixed,8,07/01/2024,Impulsive,Standard
70-108-1493,25,Female,Single,Hazelwood,Office Supplies,$365.10,3,"$1,095.30",In-Store,3,8/30/2024,Wants-based,No Preference
46-230-8307,38,Female,Single,Ridgeview,Health Care,$485.42,5,"$2,427.10",Online,6,11/13/2024,Wants-based,No Preference
74-431-0242,41,Female,Widowed,Northbrook,Health Care,$250.54,4,"$1,002.16",In-Store,10,12/27/2024,Wants-based,No Preference
78-272-6417,49,Female,Divorced,Chestnutridge,Jewelry & Accessories,$163.14,5,$815.70,Mixed,2,08/07/2024,Planned,No Preference
13-792-4356,21,Male,Divorced,Springdale,Gardening & Outdoors,$162.31,8,"$1,298.48",In-Store,2,10/05/2024,Need-based,No Preference
04-563-9091,37,Male,Widowed,Northwood,Office Supplies,$328.21,7,"$2,297.47",Mixed,2,2/14/2024,Need-based,No Preference
79-592-5396,30,Female,Married,Ashbrook,Sports & Outdoors,$268.59,4,"$1,074.36",Online,1,04/05/2024,Need-based,Standard
39-952-4459,18,Female,Divorced,Birchmont,Electronics,$257.37,7,"$1,801.59",Online,5,02/01/2024,Wants-based,Express
67-935-7964,41,Female,Single,Stonegate,Office Supplies,$205.49,4,$821.96,In-Store,2,11/09/2024,Need-based,Express
26-828-2720,40,Male,Divorced,Redfern,Mobile Accessories,$407.91,7,"$2,855.37",In-Store,5,6/17/2024,Need-based,Standard
57-410-7415,33,Female,Divorced,Cedarbrook,Food & Beverages,$254.73,6,"$1,528.38",Online,3,06/01/2024,Impulsive,Express
62-989-8214,30,Female,Divorced,Parkwood,Clothing,$397.78,12,"$4,773.36",Online,7,9/24/2024,Impulsive,No Preference
73-827-2774,33,Female,Married,Crestfield,Electronics,$305.29,3,$915.87,Online,8,09/05/2024,Impulsive,Standard
19-643-1879,45,Male,Divorced,Fernhill,Food & Beverages,$257.86,6,"$1,547.16",Online,4,06/12/2024,Need-based,Express
57-345-3921,42,Female,Single,Willowmere,Jewelry & Accessories,$393.45,12,"$4,721.40",In-Store,10,10/06/2024,Need-based,Express
98-817-6731,30,Male,Married,Lakeside,Health Supplements,$58.49,6,$350.94,Online,8,7/29/2024,Planned,Express
31-788-0864,42,Male,Single,Foxwood,Beauty & Personal Care,$226.48,11,"$2,491.28",In-Store,7,10/18/2024,Need-based,Express
27-806-4972,26,Female,Single,Thornhill,Health Care,$469.22,6,"$2,815.32",In-Store,1,08/07/2024,Wants-based,No Preference
48-343-1220,42,Female,Divorced,Summergate,Jewelry & Accessories,$335.32,6,"$2,011.92",Mixed,1,08/12/2024,Planned,No Preference
15-640-6493,31,Male,Divorced,Wildwood,Animal Feed,$184.74,5,$923.70,In-Store,5,11/27/2024,Impulsive,No Preference
64-846-7450,37,Genderqueer,Divorced,Amberley,Travel & Leisure (Flights,$442.18,5,"$2,210.90",In-Store,10,1/25/2024,Impulsive,Express
58-788-8938,49,Male,Married,Brookhaven,Health Supplements,$427.10,8,"$3,416.80",Mixed,2,05/10/2024,Planned,No Preference
52-240-3825,34,Male,Widowed,Westlake,Home Appliances,$326.82,4,"$1,307.28",Mixed,5,4/22/2024,Planned,Standard
60-618-2561,41,Male,Widowed,Amberwood,Hotels,$98.97,12,"$1,187.64",In-Store,7,3/19/2024,Impulsive,No Preference
94-969-6819,33,Male,Single,Eastfield,Health Care,$77.65,6,$465.90,Online,3,1/24/2024,Planned,No Preference
76-982-8107,47,Female,Widowed,Hillside,Electronics,$85.61,2,$171.22,Online,3,10/04/2024,Need-based,Standard
52-779-8972,47,Male,Widowed,Foxridge,Food & Beverages,$164.79,4,$659.16,In-Store,5,5/23/2024,Impulsive,No Preference
40-520-3271,29,Female,Widowed,Auburnwood,Health Supplements,$235.46,10,"$2,354.60",In-Store,7,11/13/2024,Impulsive,No Preference
79-884-5600,36,Female,Widowed,Sycamore,Books,$245.14,4,$980.56,Online,4,03/03/2024,Impulsive,Standard
80-607-9947,43,Male,Divorced,Springwood,Toys & Games,$439.91,5,"$2,199.55",Online,9,03/03/2024,Need-based,Express
87-290-8263,31,Male,Widowed,Amberbrook,Home Appliances,$309.22,5,"$1,546.10",Mixed,4,3/24/2024,Planned,Standard
99-316-9993,27,Male,Widowed,Willowdale,Groceries,$146.59,10,"$1,465.90",Mixed,2,1/22/2024,Impulsive,No Preference
54-164-2243,48,Male,Single,Westbrook,Hotels,$298.73,4,"$1,194.92",Online,2,11/02/2024,Need-based,No Preference
14-784-5606,19,Genderqueer,Single,Oakdale,Food & Beverages,$395.01,2,$790.02,Mixed,6,4/18/2024,Wants-based,Standard
47-992-7446,41,Male,Married,Glenridge,Electronics,$371.19,10,"$3,711.90",Mixed,8,8/27/2024,Planned,Express
37-513-5073,33,Female,Married,Fernbrook,Electronics,$193.76,10,"$1,937.60",Mixed,2,02/03/2024,Wants-based,No Preference
93-473-7248,43,Male,Divorced,Ridgemont,Baby Products,$424.27,6,"$2,545.62",Online,8,9/15/2024,Planned,Standard
72-830-1211,38,Male,Single,Brookhaven,Jewelry & Accessories,$496.11,2,$992.22,Mixed,8,06/08/2024,Impulsive,Standard
87-934-6762,41,Male,Widowed,Eastmont,Baby Products,$341.91,3,"$1,025.73",Online,9,5/31/2024,Impulsive,Express
71-975-9564,40,Male,Married,Silverbrook,Gardening & Outdoors,$127.66,11,"$1,404.26",Online,7,2/23/2024,Planned,Standard
40-232-5631,47,Genderfluid,Single,Grandhaven,Software & Apps,$227.47,2,$454.94,Online,4,10/30/2024,Need-based,Express
22-414-4955,35,Male,Widowed,Birchdale,Health Supplements,$342.99,3,"$1,028.97",In-Store,6,11/22/2024,Impulsive,Express
99-089-1930,49,Non-binary,Married,Copperhill,Packages),$306.48,5,"$1,532.40",Mixed,9,9/15/2024,Need-based,Standard
62-198-2511,22,Male,Divorced,Brookmere,Home Appliances,$308.54,3,$925.62,Mixed,5,9/29/2024,Wants-based,Standard
21-297-1223,49,Male,Single,Cedarfield,Travel & Leisure (Flights,$124.17,12,"$1,490.04",Mixed,4,11/16/2024,Planned,Standard
10-961-9336,27,Female,Married,Maplehurst,Travel & Leisure (Flights,$78.00,5,$390.00,Online,1,11/09/2024,Wants-based,No Preference
71-473-2656,27,Female,Married,Northfield,Health Care,$393.03,4,"$1,572.12",Mixed,3,09/03/2024,Planned,Standard
84-954-2973,37,Female,Single,Crestwood,Hotels,$102.09,3,$306.27,Mixed,9,3/13/2024,Need-based,Express
22-382-9636,32,Male,Married,Windridge,Health Care,$426.21,3,"$1,278.63",Mixed,5,4/18/2024,Wants-based,Standard
89-724-2536,42,Male,Widowed,Ashland,Arts & Crafts,$140.31,2,$280.62,Online,5,5/21/2024,Impulsive,Express
85-391-1888,18,Female,Widowed,Belmontbridge,Software & Apps,$413.70,8,"$3,309.60",Mixed,9,6/17/2024,Need-based,No Preference
84-934-2483,49,Male,Widowed,Sunnyside,Arts & Crafts,$348.63,4,"$1,394.52",Online,7,04/01/2024,Planned,No Preference
96-229-1698,23,Female,Widowed,Ridgefield,Animal Feed,$91.27,7,$638.89,In-Store,6,6/21/2024,Planned,Express
36-948-6994,29,Female,Divorced,Springfield,Luxury Goods,$359.94,11,"$3,959.34",Mixed,8,12/19/2024,Wants-based,Express
43-172-9431,25,Male,Divorced,Crestwood,Gardening & Outdoors,$138.20,8,"$1,105.60",In-Store,6,03/02/2024,Need-based,No Preference
53-690-5759,38,Agender,Divorced,Birchgrove,Home Appliances,$196.33,11,"$2,159.63",Online,5,6/29/2024,Planned,Standard
00-496-3067,32,Female,Widowed,Valleyfield,Packages),$249.24,8,"$1,993.92",In-Store,3,8/29/2024,Need-based,Standard
10-330-6387,45,Male,Divorced,Westonwood,Furniture,$129.10,12,"$1,549.20",Mixed,8,4/15/2024,Planned,No Preference
87-590-8963,45,Female,Married,Starhaven,Baby Products,$112.69,10,"$1,126.90",In-Store,7,8/27/2024,Need-based,Standard
47-931-2642,46,Male,Widowed,Greenvale,Beauty & Personal Care,$267.85,5,"$1,339.25",Online,5,3/20/2024,Need-based,Standard
76-501-6422,24,Male,Divorced,Hazelridge,Home Appliances,$205.36,12,"$2,464.32",Online,1,4/27/2024,Impulsive,Express
39-274-2175,48,Polygender,Divorced,Glenfield,Health Supplements,$79.10,10,$791.00,In-Store,9,05/05/2024,Need-based,Express
62-493-5282,35,Male,Widowed,Clearbrook,Health Care,$256.63,12,"$3,079.56",In-Store,2,6/16/2024,Impulsive,Standard
18-841-7253,50,Female,Divorced,Northgate,Books,$409.98,12,"$4,919.76",Mixed,1,10/15/2024,Wants-based,Express
18-097-5707,34,Male,Widowed,Elmhurst,Sports & Outdoors,$291.60,2,$583.20,In-Store,7,08/01/2024,Need-based,Standard
83-792-5141,50,Female,Single,Woodhaven,Home Appliances,$101.70,7,$711.90,Online,2,6/25/2024,Wants-based,Standard
65-036-2410,50,Female,Single,Redwood,Health Care,$369.73,2,$739.46,Online,3,02/04/2024,Wants-based,No Preference
67-593-9579,46,Male,Single,Brookstone,Baby Products,$71.00,12,$852.00,Online,9,6/26/2024,Wants-based,No Preference
33-484-6674,47,Male,Single,Redfern,Packages),$280.05,10,"$2,800.50",In-Store,2,07/06/2024,Wants-based,No Preference
65-249-5416,35,Male,Widowed,Alderwood,Jewelry & Accessories,$54.71,4,$218.84,Mixed,3,10/26/2024,Need-based,Express
17-328-4678,27,Male,Widowed,Thornfield,Packages),$119.51,11,"$1,314.61",Mixed,8,05/07/2024,Planned,No Preference
00-733-8770,37,Female,Single,Maplecrest,Arts & Crafts,$57.50,12,$690.00,Online,3,12/08/2024,Impulsive,No Preference
47-501-3435,38,Female,Married,Chestnutfield,Books,$225.05,5,"$1,125.25",Mixed,1,6/27/2024,Need-based,No Preference
46-779-7065,41,Female,Divorced,Pinevale,Food & Beverages,$441.15,7,"$3,088.05",Online,1,8/31/2024,Need-based,No Preference
91-603-1565,48,Male,Divorced,Ironwood,Animal Feed,$481.21,3,"$1,443.63",Mixed,1,11/13/2024,Wants-based,No Preference
35-122-5020,48,Female,Married,Cresthaven,Arts & Crafts,$102.96,3,$308.88,Mixed,7,12/19/2024,Wants-based,Standard
63-684-4073,45,Female,Divorced,Timberwood,Electronics,$331.57,11,"$3,647.27",Mixed,6,05/06/2024,Impulsive,Express
74-483-2893,26,Non-binary,Widowed,Foxridge,Electronics,$101.29,11,"$1,114.19",In-Store,7,10/30/2024,Need-based,No Preference
72-728-4406,50,Female,Single,Birchland,Packages),$143.52,9,"$1,291.68",In-Store,3,04/11/2024,Impulsive,Express
13-588-2488,39,Male,Widowed,Cedarpark,Sports & Outdoors,$276.48,3,$829.44,Mixed,4,05/05/2024,Need-based,Express
79-861-6506,20,Male,Widowed,Ridgebrook,Toys & Games,$352.87,11,"$3,881.57",In-Store,6,2/19/2024,Wants-based,Standard
66-974-6707,48,Male,Married,Riverwood,Mobile Accessories,$228.68,3,$686.04,Mixed,4,10/09/2024,Planned,Standard
95-112-6724,31,Female,Divorced,Bramblefield,Food & Beverages,$301.39,6,"$1,808.34",Online,4,4/21/2024,Need-based,No Preference
27-262-6874,25,Female,Married,Crestpark,Books,$473.50,11,"$5,208.50",Mixed,3,7/24/2024,Impulsive,Express
92-908-5062,18,Agender,Single,Summerset,Home Appliances,$72.80,11,$800.80,In-Store,10,8/20/2024,Need-based,Express
70-014-6406,18,Male,Divorced,Clearwater,Packages),$171.72,3,$515.16,Online,2,3/24/2024,Impulsive,Standard
52-908-9971,31,Male,Widowed,Ashridge,Software & Apps,$467.50,6,"$2,805.00",In-Store,1,04/04/2024,Planned,No Preference
57-623-5362,43,Genderqueer,Married,Meadowmere,Furniture,$209.79,6,"$1,258.74",Mixed,9,9/13/2024,Need-based,Standard
48-315-0196,23,Male,Single,Brookvale,Office Supplies,$150.33,9,"$1,352.97",In-Store,9,4/24/2024,Wants-based,Express
71-959-3896,29,Male,Married,Willowfield,Luxury Goods,$98.63,7,$690.41,Online,3,01/09/2024,Planned,Standard
29-987-3969,21,Female,Divorced,Oakdale,Beauty & Personal Care,$193.30,11,"$2,126.30",Mixed,1,06/03/2024,Planned,No Preference
78-613-1546,49,Female,Single,Hillsworth,Luxury Goods,$145.02,7,"$1,015.14",In-Store,1,6/23/2024,Wants-based,Express
43-664-4451,30,Female,Divorced,Fernhill,Health Supplements,$294.99,4,"$1,179.96",Online,4,11/30/2024,Need-based,Standard
34-095-3364,31,Polygender,Divorced,Southbrook,Office Supplies,$305.45,2,$610.90,Mixed,1,10/24/2024,Impulsive,Express
72-393-6893,50,Female,Widowed,Greenhaven,Toys & Games,$432.42,2,$864.84,In-Store,8,4/21/2024,Need-based,Express
73-707-2809,35,Female,Single,Crestmont,Gardening & Outdoors,$227.58,11,"$2,503.38",Mixed,8,1/23/2024,Need-based,Express
04-609-7885,36,Male,Single,Evervale,Toys & Games,$160.89,10,"$1,608.90",Online,6,6/23/2024,Planned,No Preference
